Iteration 0
curr length is4357
curr length is4548
curr length is5096
curr length is5741
curr length is4498
curr length is5102
curr length is5373
curr length is4282
curr length is4808
curr length is4577
curr length is5020
curr length is4709
curr length is4524
curr length is4949
curr length is4676
curr length is5079
curr length is4701
curr length is4533
curr length is4299
curr length is5036
curr length is4064
curr length is5019
curr length is4955
curr length is4833
curr length is4120
curr length is5044
curr length is4871
curr length is4359
curr length is4737
curr length is5118
curr length is4121
curr length is5375
curr length is4907
curr length is4800
curr length is4495
curr length is5383
curr length is4458
curr length is4408
curr length is4647
curr length is4383
curr length is4558
curr length is4998
curr length is4586
curr length is4680
curr length is4934
curr length is3955
curr length is4706
curr length is4757
curr length is4492
Iteration 37
curr length is4213
curr length is4569
curr length is5313
curr length is5492
curr length is3648
curr length is5020
curr length is4572
curr length is4930
curr length is4408
curr length is5196
curr length is4399
curr length is3605
curr length is4637
curr length is4403
curr length is4297
curr length is4661
curr length is4471
curr length is4618
curr length is5261
curr length is4939
curr length is4617
curr length is5171
curr length is4006
curr length is4497
curr length is4747
curr length is4997
curr length is5182
curr length is4365
curr length is4873
curr length is4805
curr length is4716
curr length is4165
curr length is5043
curr length is4939
curr length is4900
curr length is4823
curr length is4887
curr length is4433
curr length is4100
curr length is5064
curr length is4988
curr length is4411
curr length is4799
curr length is4746
curr length is4601
curr length is5088
curr length is3971
curr length is5056
curr length is4544
curr length is5279
Iteration 38
curr length is4920
curr length is4615
curr length is4866
curr length is4485
curr length is4787
curr length is4204
curr length is5364
curr length is5434
curr length is4797
curr length is3895
curr length is5171
curr length is5362
curr length is4847
curr length is4508
curr length is4436
curr length is5372
curr length is4320
curr length is4352
curr length is5336
curr length is4253
curr length is3729
curr length is4866
curr length is4807
curr length is5028
curr length is5227
curr length is4354
curr length is5067
curr length is4191
curr length is4319
curr length is4988
curr length is4840
curr length is4352
curr length is4773
curr length is4473
curr length is4222
curr length is4370
curr length is5121
curr length is4278
curr length is5530
curr length is4606
curr length is5200
curr length is5437
curr length is4817
curr length is3483
curr length is4832
curr length is4784
curr length is4839
curr length is4046
curr length is4383
curr length is4634
Iteration 39
curr length is5050
curr length is5547
curr length is4611
curr length is5687
curr length is4890
